,(Ac),(Bp),Ac,Af,Agl,Bare,Bp,Cc,Cog,Da,Eco2,Enc,F1,Gr,Hs,Lit A,Lit Ac,Ls,Pa,Pi,Pta,Qa,Rc,Rcr,Rd,Rm,Rs,Rv,Sg,Sl,Sm,(Cc),(Da),(Ls),(Ma),(Sm),Ann,Lhc,Lit Pa,Ma,Ss,Trunk
1931,0.235294118,0.058823529,15.52941176,9,0.882352941,0.294117647,2.235294118,0.235294118,0.294117647,1.764705882,0.647058824,1.352941176,1.176470588,12.29411765,3.411764706,15.41176471,0.058823529,0.529411765,0.529411765,0.058823529,0.764705882,0.529411765,3.588235294,0.764705882,9.235294118,0.058823529,0.058823529,0.352941176,0.705882353,14.76470588,3.176470588,0,0,0,0,0,0,0,0,0,0,0
2018,0.647058824,0.058823529,0.058823529,0.058823529,0.176470588,0.235294118,0.294117647,12.29411765,0.117647059,4.529411765,0.823529412,2.882352941,1.823529412,0.411764706,0.294117647,3.235294118,0.941176471,0.058823529,21.11764706,0.058823529,0.176470588,14,0.058823529,0.294117647,0.529411765,5.588235294,0.411764706,1.117647059,0.823529412,1.058823529,6.352941176,0.058823529,0.705882353,13.70588235,4.764705882,0.058823529,0.176470588,0,0,0,0,0
